site,elev,lat,long
Snowbowl,693,43.93506,-72.95109
Crystal,569,43.94535,-72.9675
Gilmore,532,43.96045,-72.97947
Frost,462,43.96376,-73.0034
SPIN,417,43.96001,-73.02879
BRF,405,44.02567,-73.08025
BRF,358,44.03138,-73.08205
Gorge,254,43.97238,-73.0738
UpperChipman,240,44.02431,-73.16256
Chipman,180,44.0338,-73.16089
Foote,152,44.01266,-73.13706
Major,134,44.02378,-73.26128
Jackson,131,43.99729,-73.20109
Lourie,126,44.07065,-73.26055
